"","Degree","W_degree","Closeness","Betweenness1","Bonacich","Eigen"
"A Mina",51,6623,0.880597014925373,5.57585084154441,-0.902753377085887,0.0771643843415779
"A Rua Torta de Gramado",57,11445,0.967213114754098,21.4093895026709,-0.956269424081779,0.13358946714838
"Aldeia do Papai Noel",55,14046,0.936507936507937,18.6320429939676,-1.05953867100181,0.198302679417495
"Alpen Park",53,12631,0.907692307692308,10.6458521647477,-0.980269029385604,0.168386031198096
"Caminho das Estrelas",29,59,0.662921348314607,2.21395250439873,-0.904049526756613,0.000518960105368241
"Capela Cristo Ressuscitado",16,17,0.57843137254902,0,-1.20228580676626,0.000175302994476004
"Caro Watson Escape Game",36,371,0.719512195121951,1.45540293040293,-0.924656728905246,0.00506613917374393
"Casa Centenária",47,1817,0.830985915492958,0.997581627797591,-0.997307220231415,0.0184432164251054
"Casa das Artes",43,300,0.786666666666667,2.20952697211443,-1.04991868763311,0.00300095067748684
"Casa do Colono",51,17924,0.880597014925373,5.07417824943065,-0.812443709107353,0.232164668055667
"Casa Seganfredo",29,272,0.662921348314607,0,-0.872696878577971,0.00387322972708266
"Cascata Véu de Noiva",14,22,0.567307692307692,0.370330555113164,-1.1664240572359,0.000237739748460331
"Central de Informações Turísticas de Gramado",50,919,0.867647058823529,6.90937720324574,-1.0513707853751,0.00902329608514512
"Centro Municipal de Cultura",46,772,0.819444444444444,3.81004206040205,-0.892144701817341,0.00759641221341129
"Chave-Mestra Escape Game Gramado",41,629,0.766233766233766,0.557140083678145,-1.12048999352192,0.00766301011308319
"Cine -Teatro Elizabeth Rosenfeld",45,512,0.808219178082192,1.40941566025292,-0.806330155845352,0.00525921437196083
"Colorio",7,8,0.531531531531532,0,-1.51665903551185,9.39698967267494e-05
"Dreamland Museu de Cera",53,30596,0.907692307692308,8.91226714226109,-0.949650626768574,0.407473624552557
"Ervateira Marcon - Natural de Gramado",48,1389,0.842857142857143,1.83433013166724,-0.982399122668755,0.0138960134242813
"Estátua do Maestro Eleazar de Carvalho",24,29,0.627659574468085,1.64791676530807,-0.849164741213612,0.000148078274621047
"Fonte do Amor Eterno",52,25822,0.893939393939394,7.44585657110897,-0.93161196842527,0.333936748386244
"Fragram - Museu do Perfume",51,4473,0.880597014925373,7.71174553170374,-0.968815534961791,0.0508238303332619
"Galleria D'arte Giovanni Bocchi",17,21,0.584158415841584,0,-0.784666996033651,0.000225251525937916
"Gram Bier",45,1078,0.808219178082192,1.20736552239264,-1.10960425136464,0.0141764099881831
"GramadoZoo",51,15561,0.880597014925373,7.93525171484689,-1.03394064232545,0.204386670326017
"Harley Motor Show",55,30017,0.936507936507937,12.2317191547421,-0.881968472894438,0.401993934437877
"Igreja Matriz São Pedro Apóstolo",55,45237,0.936507936507937,12.887287850752,-0.972278140872928,0.602086098508984
"Igreja Metodista",26,30,0.641304347826087,2.90415277154408,-1.000026604817,0.000197910541842067
"Lago Negro",57,81306,0.967213114754098,21.4093895026709,-0.95626942408162,1
"Le Jardin Parque de Lavanda",53,20627,0.907692307692308,8.98478979560721,-1.01107101763605,0.27943207839359
"Memorial Casa Italiana",49,1597,0.855072463768116,3.96724573985301,-1.08652559886249,0.0160018131353216
"Mini Mundo",57,70504,0.967213114754098,25.2447805401568,-1.30738670764398,0.920574839800202
"Mirante do Belvedere",56,11763,0.951612903225806,19.7887648867878,-1.03982360919735,0.13934541985031
"Mundo de Chocolate",56,12588,0.951612903225806,16.7441587576229,-1.06328070654321,0.157554028210515
"Mundo Encantado",52,4506,0.893939393939394,7.32926115398017,-0.940452035700307,0.0513598964130753
"Museu de Artes Dr. Carlos Nelz",40,153,0.756410256410256,0.203405355587641,-0.618081886963122,0.00123510151781848
"Museu do Automóvel - Hollywood Dream Cars",54,32649,0.921875,11.0603896473142,-0.911918353581349,0.422090959637697
"Museu do Festival de Cinema de Gramado",44,961,0.797297297297297,1.29479110056257,-0.986722417668673,0.0100854614196231
"Museu do Sapato",41,215,0.766233766233766,0.309854287485866,-0.966773288151364,0.00176166360314366
"Museu Fioreze",44,832,0.797297297297297,0.609251772811767,-0.986459868909076,0.00782197018179778
"Museu Gramado - Minerais & Pedras Preciosas",47,6788,0.830985915492958,2.69696463027657,-1.03074656561406,0.0800725963252516
"Museu Naval",44,423,0.797297297297297,2.10738672908121,-1.05258243188483,0.00384982302846786
"O Reino do Chocolate",53,12928,0.907692307692308,7.16228230074644,-0.852441359624888,0.159428200644154
"Parque do Palácio",15,20,0.572815533980582,0,-0.965286331990609,0.000162033740610422
"Parque do Pinheiro Grosso",46,1186,0.819444444444444,3.51563897728668,-0.876076916230653,0.0130397065485131
"Parque Gaúcho",50,6393,0.867647058823529,4.04931338846739,-0.842393589794214,0.0714371643075047
"Parque Temático Mundo Gelado",51,5853,0.880597014925373,7.8339373963701,-0.984181261498563,0.0707099925413192
"Pórtico via Nova Petrópolis",57,23910,0.967213114754098,24.5416806801448,-1.22113584284608,0.295381982755544
"Pórtico Via Taquara",55,13850,0.936507936507937,13.7268455153096,-0.944112447225242,0.160903803778698
"Praça da Criança",40,307,0.756410256410256,0.38505204622021,-0.863220514478152,0.00329978077285007
"Praça das Etnias",56,15800,0.951612903225806,16.3551596031826,-0.85447130117684,0.180359189929654
"Praça do Moínho",24,28,0.627659574468085,0.155814905814906,-0.943369527299026,0.000207646471927711
"Praça Major Nicoletti",52,10662,0.893939393939394,5.84233637605896,-0.834402701281577,0.122023126120836
"Prefeitura Municipal de Gramado",52,6513,0.893939393939394,8.52840684247662,-0.908147547061377,0.0730042749549147
"Rotula das Bandeiras",56,9379,0.951612903225806,22.0764548449166,-1.07588351702124,0.101490905941505
"Rua Coberta",58,45738,0.983333333333333,29.2593895026709,-1.23262429777238,0.611427079640666
"Snowland",56,47257,0.951612903225806,23.0523021072961,-1.32791140694211,0.66121012160019
"Trem Maria Fumaça",14,20,0.567307692307692,0.115384615384615,-0.944816694225638,0.000187836954232839
"Vinicola Masotti",40,191,0.756410256410256,1.80179813349568,-1.13540711600119,0.00201820725266413
"Vinícola Ravanello",48,3123,0.842857142857143,1.85979235826543,-0.930622735832154,0.0418887388828089
