"","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"Alpen Park",11,10.5,21,25,31,28,17.5,23
"Dreamland Museu de Cera",13.5,8,23,21.5,6.5,6,20,17
"Fragram - Museu do Perfume",9,17,31,19,19,30,28,1
"GramadoZoo",10,1,8,12.5,19,10,21,30
"Harley Motor Show",4,9,17.5,21.5,23.5,7,23,20.5
"Igreja Matriz São Pedro Apóstolo",1.5,10.5,2,2,15.5,16.5,6.5,10.5
"Lago Negro",3,2,1,2,2,8.5,6.5,3
"Mini Mundo",7,3,10,2,2,1.5,13,2
"Mirante do Belvedere",15.5,20.5,17.5,21.5,19,22,4,28
"Mundo Encantado",12,20.5,24,25,23.5,27,30,29
"Museu do Automóvel - Hollywood Dream Cars",8,4,8,21.5,12,5,16,20.5
"O Reino do Chocolate",15.5,19,6,5,6.5,16.5,26,4
"Parque Gaúcho",17.5,24,3,25,26,31,31,35
"Pórtico via Nova Petrópolis",5,6,17.5,12.5,12,23.5,2,10.5
"Pórtico Via Taquara",1.5,18,8,12.5,2,16.5,12,22
"Praça Major Nicoletti",13.5,23,17.5,8,19,16.5,19,19
"Rotula das Bandeiras",6,14,25,4,12,16.5,3,27
"Rua Coberta",17.5,16,5,12.5,4.5,3,1,6
"A Mina",,27.5,26,12.5,23.5,16.5,24,18
"Casa do Colono",,13,15,12.5,29.5,16.5,15,10.5
"Centro Municipal de Cultura",,27.5,32,32,27,36,46,46
"Cine -Teatro Elizabeth Rosenfeld",,27.5,35,37,41,37,41,39
"Ervateira Marcon - Natural de Gramado",,22,20,27,37.5,34,37,36
"Le Jardin Parque de Lavanda",,7,27,17.5,4.5,26,11,14.5
"Museu Fioreze",,27.5,11,34,37.5,38,39,41
"Museu Gramado - Minerais & Pedras Preciosas",,5,4,6.5,35,29,36,26
"Parque do Pinheiro Grosso",,15,35,35,40,32,43,46
"Parque Temático Mundo Gelado",,27.5,30,31,9,33,32,16
"Praça das Etnias",,27.5,13,17.5,19,8.5,9,10.5
"Prefeitura Municipal de Gramado",,12,29,12.5,29.5,23.5,22,25
"Casa Centenária",,,14,28,32,39,38,38
"Fonte do Amor Eterno",,,35,6.5,15.5,16.5,6.5,10.5
"Memorial Casa Italiana",,,28,33,34,25,25,40
"Museu de Artes Dr. Carlos Nelz",,,22,30,43,,,
"Museu do Sapato",,,35,40,28,45.5,46,
"Snowland",,,12,12.5,23.5,1.5,10,5
"Vinícola Ravanello",,,35,40,33,35,34,34
"A Rua Torta de Gramado",,,,40,12,16.5,6.5,10.5
"Casa das Artes",,,,36,39,41.5,46,46
"Mundo de Chocolate",,,,29,12,16.5,14,14.5
"Museu Naval",,,,38,36,43,46,46
"Aldeia do Papai Noel",,,,,8,4,17.5,7
"Gram Bier",,,,,43,11,33,32
"Museu do Festival de Cinema de Gramado",,,,,43,41.5,29,24
"Caro Watson Escape Game",,,,,,45.5,35,37
"Casa Seganfredo",,,,,,45.5,42,42
"Colorio",,,,,,45.5,46,
"Vinicola Masotti",,,,,,40,40,33
"Chave-Mestra Escape Game Gramado",,,,,,,27,31
"Adega Dom Carlo",,,,,,,,46
"Parque Olivas de Gramado",,,,,,,,46
"Vinícola Stopassola",,,,,,,,46
